date,open,high,low,close,volume,position,s,settlement
2023-07-31,702.5,703.0,660.25,666.25,0,0,0.0,0
2023-08-01,670.0,675.0,643.25,652.75,0,0,0.0,0
2023-08-02,654.5,684.0,636.0,640.0,0,0,0.0,0
2023-08-03,639.25,648.25,626.25,627.75,0,0,0.0,0
2023-08-04,627.75,653.75,627.25,635.0,0,0,0.0,0
2023-08-07,646.0,663.75,636.0,657.25,0,0,0.0,0
2023-08-08,657.5,662.25,643.0,654.75,0,0,0.0,0
2023-08-09,655.5,658.25,633.5,635.75,0,0,0.0,0
2023-08-10,637.25,644.0,635.0,637.75,0,0,0.0,0
2023-08-11,638.0,639.75,624.25,626.25,0,0,0.0,0
2023-08-14,632.75,635.0,605.25,613.75,0,0,0.0,0
2023-08-15,644.5,644.5,621.75,622.75,0,0,0.0,0
2023-08-16,624.5,633.0,617.25,623.75,0,0,0.0,0
2023-08-17,625.0,626.25,612.0,615.25,0,0,0.0,0
2023-08-18,615.25,641.25,615.25,639.75,0,0,0.0,0
2023-08-21,632.75,646.25,622.75,624.75,0,0,0.0,0
2023-08-22,625.0,637.0,621.25,627.75,0,0,0.0,0
2023-08-23,629.0,643.5,624.25,639.5,0,0,0.0,0
2023-08-24,642.25,642.5,626.5,632.75,0,0,0.0,0
2023-08-25,632.25,637.75,615.5,620.0,0,0,0.0,0
2023-08-28,622.0,628.5,612.5,616.75,0,0,0.0,0
2023-08-29,616.5,618.25,599.5,600.25,0,0,0.0,0
2023-08-30,602.75,610.75,599.5,605.25,0,0,0.0,0
2023-08-31,605.0,615.75,593.5,601.0,0,0,0.0,0
2023-09-01,602.0,612.75,595.25,595.5,0,0,0.0,0
2023-09-05,598.75,605.75,592.25,600.0,0,0,0.0,0
2023-09-06,601.25,615.5,599.0,609.25,0,0,0.0,0
2023-09-07,609.0,613.75,598.0,598.5,0,0,0.0,0
2023-09-08,600.0,602.75,590.5,595.25,0,0,0.0,0
2023-09-11,597.0,597.5,580.25,584.0,0,0,0.0,0
2023-09-12,584.25,591.0,570.0,587.0,0,0,0.0,0
2023-09-13,587.5,601.5,584.75,595.25,0,0,0.0,0
2023-09-14,595.5,597.75,583.5,592.25,0,0,0.0,0
2023-09-15,594.25,607.5,591.75,603.75,0,0,0.0,0
2023-09-18,604.0,604.25,587.0,589.0,0,0,0.0,0
2023-09-19,588.0,592.75,581.0,583.5,0,0,0.0,0
2023-09-20,585.25,596.25,581.5,588.25,0,0,0.0,0
2023-09-21,589.0,590.25,575.0,575.5,0,0,0.0,0
2023-09-22,576.5,582.5,572.75,579.5,0,0,0.0,0
2023-09-25,577.0,590.0,573.75,589.0,0,0,0.0,0
2023-09-26,589.0,596.75,583.25,589.25,0,0,0.0,0
2023-09-27,589.25,594.5,578.5,579.5,0,0,0.0,0
2023-09-28,580.5,583.5,575.25,578.5,0,0,0.0,0
2023-09-29,579.5,585.5,540.0,540.25,0,0,0.0,0
2023-10-02,545.0,567.0,541.25,566.0,0,0,0.0,0
2023-10-03,568.25,575.0,562.75,568.25,0,0,0.0,0
2023-10-04,567.5,569.75,551.75,559.0,0,0,0.0,0
2023-10-05,559.75,580.25,559.0,576.75,0,0,0.0,0
2023-10-06,576.0,580.25,566.5,569.0,0,0,0.0,0
2023-10-09,573.25,581.5,570.0,572.0,0,0,0.0,0
2023-10-10,573.75,574.75,555.5,558.25,0,0,0.0,0
2023-10-11,559.0,560.75,551.0,556.5,0,0,0.0,0
2023-10-12,557.25,574.5,547.25,572.75,0,0,0.0,0
2023-10-13,572.0,586.25,569.5,579.5,0,0,0.0,0
2023-10-16,580.0,588.5,575.25,578.0,0,0,0.0,0
2023-10-17,577.0,582.25,568.5,570.75,0,0,0.0,0
2023-10-18,572.5,584.0,571.25,581.25,0,0,0.0,0
2023-10-19,579.75,594.5,576.5,593.75,0,0,0.0,0
2023-10-20,594.0,604.5,583.25,584.0,0,0,0.0,0
2023-10-23,586.5,595.25,582.0,586.5,0,0,0.0,0
2023-10-24,587.75,588.0,572.75,578.75,0,0,0.0,0
2023-10-25,580.0,586.25,567.0,568.25,0,0,0.0,0
2023-10-26,569.25,580.5,563.25,580.5,0,0,0.0,0
2023-10-27,580.25,582.5,571.0,575.75,0,0,0.0,0
2023-10-30,576.0,577.0,565.25,565.5,0,0,0.0,0
2023-10-31,568.25,568.5,554.5,557.5,0,0,0.0,0
2023-11-01,557.5,564.75,554.75,561.5,0,0,0.0,0
2023-11-02,562.25,569.5,557.25,564.25,0,0,0.0,0
2023-11-03,565.75,574.5,563.75,572.5,0,0,0.0,0
2023-11-06,573.0,577.75,566.5,575.25,0,0,0.0,0
2023-11-07,574.0,582.25,564.5,571.5,0,0,0.0,0
2023-11-08,571.5,598.75,570.25,590.0,0,0,0.0,0
2023-11-09,590.0,592.5,573.0,581.25,0,0,0.0,0
2023-11-10,581.75,583.0,570.75,575.75,0,0,0.0,0
2023-11-13,575.0,582.0,567.25,579.0,0,0,0.0,0
2023-11-14,581.0,585.0,570.25,572.0,0,0,0.0,0
2023-11-15,572.75,579.25,557.0,560.75,0,0,0.0,0
2023-11-16,590.25,590.25,575.25,581.5,0,0,0.0,0
2023-11-17,582.0,585.25,574.5,577.0,0,0,0.0,0
2023-11-20,575.75,579.75,567.75,571.5,0,0,0.0,0
2023-11-21,571.0,584.75,568.75,583.25,0,0,0.0,0
2023-11-22,584.0,591.5,583.0,586.0,0,0,0.0,0
2023-11-24,582.75,584.5,575.0,578.5,0,0,0.0,0
2023-11-27,578.5,582.0,556.25,560.25,0,0,0.0,0
2023-11-28,562.0,574.0,557.25,573.25,0,0,0.0,0
2023-11-29,573.75,587.5,571.5,586.25,0,0,0.0,0
2023-11-30,585.75,599.0,582.0,598.75,0,0,0.0,0
2023-12-01,595.5,610.0,589.0,601.5,0,0,0.0,0
2023-12-04,602.0,626.5,600.25,618.25,0,0,0.0,0
2023-12-05,619.0,636.25,616.25,629.75,0,0,0.0,0
2023-12-06,630.0,649.5,625.5,632.25,0,0,0.0,0
2023-12-07,631.25,645.0,621.75,642.5,0,0,0.0,0
2023-12-08,641.0,645.0,628.75,632.25,0,0,0.0,0
2023-12-11,632.0,633.25,607.25,608.75,0,0,0.0,0
2023-12-12,609.75,628.75,608.25,625.75,0,0,0.0,0
2023-12-13,624.25,626.5,602.5,606.25,0,0,0.0,0
2023-12-14,608.0,619.5,606.5,616.5,0,0,0.0,0
2023-12-15,616.0,630.0,610.75,629.5,0,0,0.0,0
2023-12-18,629.75,632.0,614.75,618.25,0,0,0.0,0
2023-12-19,618.25,624.25,611.25,623.25,0,0,0.0,0
2023-12-20,622.5,625.25,609.0,611.0,0,0,0.0,0
2023-12-21,611.5,617.25,610.25,612.25,0,0,0.0,0
2023-12-22,612.5,618.25,610.75,616.0,0,0,0.0,0
2023-12-26,615.0,639.75,611.5,637.25,0,0,0.0,0
2023-12-27,636.0,637.5,619.25,624.0,0,0,0.0,0
2023-12-28,624.25,636.25,621.75,632.0,0,0,0.0,0
2023-12-29,631.0,633.5,621.5,628.25,0,0,0.0,0
2024-01-02,628.75,628.75,604.75,607.5,0,0,0.0,0
2024-01-03,608.0,609.75,598.25,601.0,0,0,0.0,0
2024-01-04,601.5,614.5,591.25,612.25,0,0,0.0,0
2024-01-05,613.0,621.5,611.5,616.75,0,0,0.0,0
2024-01-08,617.0,617.25,593.0,596.5,0,0,0.0,0
2024-01-09,596.0,613.75,594.0,609.25,0,0,0.0,0
2024-01-10,610.25,612.0,603.75,609.75,0,0,0.0,0
2024-01-11,610.0,614.75,602.0,604.0,0,0,0.0,0
2024-01-12,604.0,611.75,587.25,596.5,0,0,0.0,0
2024-01-16,596.0,602.25,576.75,581.5,0,0,0.0,0
2024-01-17,581.5,595.75,577.75,581.5,0,0,0.0,0
2024-01-18,583.5,587.0,573.25,584.25,0,0,0.0,0
2024-01-19,586.25,598.0,584.75,593.0,0,0,0.0,0
2024-01-22,593.5,600.25,587.0,594.75,0,0,0.0,0
2024-01-23,596.0,606.75,593.75,598.25,0,0,0.0,0
2024-01-24,598.0,612.25,596.5,611.25,0,0,0.0,0
2024-01-25,611.5,617.25,606.5,611.5,0,0,0.0,0
2024-01-26,612.0,614.0,592.25,601.75,0,0,0.0,0
2024-01-29,601.25,601.75,587.5,594.25,0,0,0.0,0
2024-01-30,593.5,606.75,584.5,604.25,0,0,0.0,0
