date,station,lat,lon,temp_C,precip_mm
20100913,长春,43.82,125.32,19.92,0.03
20100914,长春,43.82,125.32,20.34,0.0
20100915,长春,43.82,125.32,21.27,0.02
20100916,长春,43.82,125.32,16.17,0.38
20100917,长春,43.82,125.32,11.94,4.97
20100918,长春,43.82,125.32,13.94,1.39
20100919,长春,43.82,125.32,15.05,0.02
20100920,长春,43.82,125.32,13.64,0.32
20100921,长春,43.82,125.32,10.19,0.09
20100922,长春,43.82,125.32,7.06,0.0
20100923,长春,43.82,125.32,8.29,0.0
20100924,长春,43.82,125.32,10.72,0.0
20100925,长春,43.82,125.32,14.02,1.32
20100926,长春,43.82,125.32,13.71,0.58
20100927,长春,43.82,125.32,8.83,1.4
20100928,长春,43.82,125.32,6.61,2.53
20100929,长春,43.82,125.32,8.3,0.0
20100930,长春,43.82,125.32,11.51,0.0
20101001,长春,43.82,125.32,9.06,0.18
20101002,长春,43.82,125.32,10.89,1.12
20101003,长春,43.82,125.32,11.07,16.15
20101004,长春,43.82,125.32,7.59,1.6
20101005,长春,43.82,125.32,7.87,0.0
20101006,长春,43.82,125.32,12.99,0.0
20101007,长春,43.82,125.32,15.3,0.01
20101008,长春,43.82,125.32,14.49,0.01
20101009,长春,43.82,125.32,13.92,0.01
20101010,长春,43.82,125.32,11.51,0.31
20101011,长春,43.82,125.32,4.18,13.06
20101012,长春,43.82,125.32,5.27,0.01
20101013,长春,43.82,125.32,8.34,0.0
20101014,长春,43.82,125.32,5.24,0.57
20101015,长春,43.82,125.32,1.77,1.64
20101016,长春,43.82,125.32,-0.96,0.02
20101017,长春,43.82,125.32,-1.4,0.0
20101018,长春,43.82,125.32,0.74,0.01
20101019,长春,43.82,125.32,0.52,0.21
20101020,长春,43.82,125.32,2.56,0.19
20101021,长春,43.82,125.32,2.92,0.0
20101022,长春,43.82,125.32,6.77,0.0
20101023,长春,43.82,125.32,7.67,0.75
20101024,长春,43.82,125.32,0.93,0.47
20101025,长春,43.82,125.32,-2.71,0.01
20101026,长春,43.82,125.32,-3.16,0.0
20101027,长春,43.82,125.32,-1.15,0.0
20101028,长春,43.82,125.32,0.45,0.0
20101029,长春,43.82,125.32,3.22,0.0
20101030,长春,43.82,125.32,3.28,0.01
20101031,长春,43.82,125.32,4.12,0.0
20100401,沈阳,41.8,123.43,3.2,0.28
20100402,沈阳,41.8,123.43,0.4,0.0
20100403,沈阳,41.8,123.43,3.11,0.0
20100404,沈阳,41.8,123.43,5.29,0.34
20100405,沈阳,41.8,123.43,1.75,0.45
20100406,沈阳,41.8,123.43,2.27,0.0
20100407,沈阳,41.8,123.43,5.76,0.0
20100408,沈阳,41.8,123.43,7.57,0.53
20100409,沈阳,41.8,123.43,2.24,5.66
20100410,沈阳,41.8,123.43,3.68,0.2
20100411,沈阳,41.8,123.43,2.95,0.01
20100412,沈阳,41.8,123.43,1.0,2.82
20100413,沈阳,41.8,123.43,0.06,0.0
20100414,沈阳,41.8,123.43,2.01,0.0
20100415,沈阳,41.8,123.43,4.71,0.06
20100416,沈阳,41.8,123.43,4.62,6.18
20100417,沈阳,41.8,123.43,5.86,0.08
20100418,沈阳,41.8,123.43,8.21,4.22
20100419,沈阳,41.8,123.43,6.68,13.21
20100420,沈阳,41.8,123.43,8.33,0.04
20100421,沈阳,41.8,123.43,8.73,0.0
20100422,沈阳,41.8,123.43,9.37,0.0
20100423,沈阳,41.8,123.43,8.77,0.0
20100424,沈阳,41.8,123.43,11.03,0.0
20100425,沈阳,41.8,123.43,12.95,0.0
20100426,沈阳,41.8,123.43,7.53,8.04
20100427,沈阳,41.8,123.43,4.44,6.2
20100428,沈阳,41.8,123.43,4.66,2.13
20100429,沈阳,41.8,123.43,5.39,3.64
20100430,沈阳,41.8,123.43,8.68,0.0
20100501,沈阳,41.8,123.43,13.04,0.0
20100502,沈阳,41.8,123.43,14.0,0.91
20100503,沈阳,41.8,123.43,14.98,0.31
20100504,沈阳,41.8,123.43,16.09,0.98
