date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
20220606,C,2827.14,c2207,2845.0,c2209,2891.0,2207,2209,17.860000000000127,63.86000000000013,0.0063173383702257,0.0225881986742786
20220607,C,2827.14,c2207,2834.0,c2209,2881.0,2207,2209,6.860000000000127,53.86000000000013,0.0024264804714304,0.0190510551299192
20220608,C,2827.14,c2207,2846.0,c2209,2896.0,2207,2209,18.860000000000127,68.86000000000013,0.0066710527246616,0.0243567704464582
20220609,C,2828.57,c2207,2804.0,c2209,2851.0,2207,2209,-24.570000000000164,22.42999999999984,-0.0086863680234182,0.0079298019847484
20220610,C,2824.29,c2207,2814.0,c2209,2867.0,2207,2209,-10.289999999999964,42.71000000000004,-0.0036433935608595,0.0151223847409438
20220613,C,2822.86,c2207,2839.0,c2209,2886.0,2207,2209,16.139999999999873,63.13999999999987,0.0057176055489822,0.0223673862678275
20220614,C,2824.29,c2207,2837.0,c2209,2888.0,2207,2209,12.710000000000036,63.71000000000004,0.0045002460795455,0.0225578818039224
20220615,C,2824.29,c2207,2829.0,c2209,2880.0,2207,2209,4.710000000000036,55.71000000000004,0.0016676757698395,0.0197253114942161
20220616,C,2821.43,c2207,2836.0,c2209,2887.0,2207,2209,14.570000000000164,65.57000000000016,0.0051640480182035,0.0232399882329175
20220617,C,2827.14,c2207,2854.0,c2209,2905.0,2207,2209,26.860000000000127,77.86000000000013,0.0095007675601492,0.0275401996363817
20220620,C,2828.57,c2207,2850.0,c2209,2902.0,2207,2209,21.42999999999984,73.42999999999984,0.0075762664526597,0.0259601141212697
20220621,C,2832.86,c2207,2846.0,c2209,2900.0,2207,2209,13.139999999999873,67.13999999999987,0.0046384219481372,0.0237004299541805
20220622,C,2834.29,c2207,2808.0,c2209,2857.0,2207,2209,-26.289999999999964,22.71000000000004,-0.0092756916194178,0.0080125886906421
20220623,C,2835.71,c2207,2778.0,c2209,2829.0,2207,2209,-57.71000000000004,-6.710000000000036,-0.0203511642586865,-0.0023662504275825
20220624,C,2835.71,c2207,2734.0,c2209,2786.0,2207,2209,-101.71000000000004,-49.71000000000004,-0.0358675605051292,-0.0175300013047878
20220627,C,2834.29,c2207,2747.0,c2209,2797.0,2207,2209,-87.28999999999996,-37.28999999999997,-0.0307978364952069,-0.0131567341380027
20220628,C,2831.43,c2207,2763.0,c2209,2815.0,2207,2209,-68.42999999999984,-16.429999999999836,-0.0241679999152371,-0.0058027215929759
20220629,C,2828.57,c2207,2756.0,c2209,2811.0,2207,2209,-72.57000000000016,-17.570000000000164,-0.0256560735636736,-0.0062116192987976
20220630,C,2827.14,c2207,2731.0,c2209,2780.0,2207,2209,-96.13999999999989,-47.13999999999987,-0.0340060980354703,-0.0166740946681097
20220701,C,2827.14,c2207,2659.0,c2209,2704.0,2207,2209,-168.13999999999987,-123.13999999999989,-0.0594735315548574,-0.0435563856052405
20220704,C,2828.57,c2207,2689.0,c2209,2719.0,2207,2209,-139.57000000000016,-109.57000000000016,-0.0493429542136133,-0.0387368882509536
20220705,C,2824.29,c2207,2657.0,c2209,2691.0,2207,2209,-167.28999999999996,-133.28999999999996,-0.0592325858888428,-0.0471941620725916
20220706,C,2822.86,c2207,2640.0,c2209,2688.0,2207,2209,-182.86000000000013,-134.86000000000013,-0.0647782745159165,-0.0477742431434786
20220707,C,2812.86,c2207,2648.0,c2209,2718.0,2207,2209,-164.86000000000013,-94.86000000000011,-0.0586093868873673,-0.0337236833685288
20220708,C,2810.0,c2207,2674.0,c2209,2726.0,2207,2209,-136.0,-84.0,-0.0483985765124554,-0.0298932384341636
20220711,C,2812.86,c2207,2711.0,c2209,2743.0,2207,2209,-101.86000000000011,-69.86000000000013,-0.0362122537204127,-0.0248359321118007
20220712,C,2818.57,c2207,2682.0,c2209,2711.0,2207,2209,-136.57000000000016,-107.57000000000016,-0.0484536484813221,-0.0381647431144162
20220713,C,2818.57,c2207,2652.0,c2209,2705.0,2207,2209,-166.57000000000016,-113.57000000000016,-0.0590973436884662,-0.040293482155845
20220714,C,2810.0,c2207,2677.0,c2209,2707.0,2207,2209,-133.0,-103.0,-0.0473309608540924,-0.0366548042704626
20220715,C,2808.57,c2209,2682.0,c2209,2682.0,2209,2209,-126.57000000000016,-126.57000000000016,-0.0450656383853705,-0.0450656383853705
20220718,C,2807.14,c2209,2681.0,c2209,2681.0,2209,2209,-126.13999999999989,-126.13999999999989,-0.044935414692534,-0.044935414692534
20220719,C,2805.71,c2209,2612.0,c2209,2612.0,2209,2209,-193.71000000000004,-193.71000000000004,-0.0690413478228327,-0.0690413478228327
